2018-06-16 15:02:27 INFO: connecting to the server 127.0.0.1:8888
2018-06-16 15:02:27 INFO: successfully connected to the server 127.0.0.1:8888
2018-06-16 15:02:27 DEBUG: roomId 123 sendOpen: 1|123|0 -> server
2018-06-16 15:02:27 DEBUG: roomId 123 recvOpenACK: 2|1|1|30|2 <- server
2018-06-16 15:02:28 DEBUG: roomId 123 recvState: 9|123|1|30|25|2|0|0 <- server
2018-06-16 15:02:29 DEBUG: roomId 123 recvState: 9|123|1|30|25|2|0.2|0.1 <- server
2018-06-16 15:02:30 DEBUG: roomId 123 recvState: 9|123|1|28|25|2|0.4|0.2 <- server
2018-06-16 15:02:31 DEBUG: roomId 123 recvState: 9|123|1|28|25|2|0.6|0.3 <- server
2018-06-16 15:02:32 DEBUG: roomId 123 recvState: 9|123|1|26|25|2|0.8|0.4 <- server
2018-06-16 15:02:32 DEBUG: roomId 123 sendTemp: 7|123|0|26 -> server
2018-06-16 15:02:32 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:32 DEBUG: roomId 123 sendTemp: 7|123|0|27 -> server
2018-06-16 15:02:32 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:32 DEBUG: roomId 123 sendTemp: 7|123|0|28 -> server
2018-06-16 15:02:32 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:32 DEBUG: roomId 123 sendTemp: 7|123|0|29 -> server
2018-06-16 15:02:32 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:33 DEBUG: roomId 123 sendTemp: 7|123|0|30 -> server
2018-06-16 15:02:33 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:33 DEBUG: roomId 123 recvState: 9|123|1|26|30|2|1.0|0.5 <- server
2018-06-16 15:02:33 DEBUG: roomId 123 sendTemp: 7|123|0|29 -> server
2018-06-16 15:02:33 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:34 DEBUG: roomId 123 recvState: 9|123|1|28|29|2|1.2|0.6 <- server
2018-06-16 15:02:34 DEBUG: roomId 123 sendTemp: 7|123|0|28 -> server
2018-06-16 15:02:34 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:34 DEBUG: roomId 123 sendTemp: 7|123|0|27 -> server
2018-06-16 15:02:34 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:34 DEBUG: roomId 123 sendTemp: 7|123|0|26 -> server
2018-06-16 15:02:34 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:34 DEBUG: roomId 123 sendTemp: 7|123|0|25 -> server
2018-06-16 15:02:34 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:34 DEBUG: roomId 123 sendTemp: 7|123|0|24 -> server
2018-06-16 15:02:34 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:34 DEBUG: roomId 123 sendTemp: 7|123|0|23 -> server
2018-06-16 15:02:34 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:34 DEBUG: roomId 123 sendTemp: 7|123|0|22 -> server
2018-06-16 15:02:34 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:35 DEBUG: roomId 123 recvState: 9|123|1|28|22|2|1.4|0.7 <- server
2018-06-16 15:02:35 DEBUG: roomId 123 sendTemp: 7|123|0|21 -> server
2018-06-16 15:02:35 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:35 DEBUG: roomId 123 sendTemp: 7|123|0|20 -> server
2018-06-16 15:02:35 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:35 DEBUG: roomId 123 sendTemp: 7|123|0|19 -> server
2018-06-16 15:02:35 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:35 DEBUG: roomId 123 sendTemp: 7|123|0|18 -> server
2018-06-16 15:02:35 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:35 DEBUG: roomId 123 sendTemp: 7|123|0|17 -> server
2018-06-16 15:02:35 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:36 DEBUG: roomId 123 recvState: 9|123|1|26|17|2|1.6|0.8 <- server
2018-06-16 15:02:37 DEBUG: roomId 123 recvState: 9|123|1|26|17|2|1.8|0.9 <- server
2018-06-16 15:02:37 DEBUG: roomId 123 sendSpeed: 5|123|0|1 -> server
2018-06-16 15:02:37 DEBUG: roomId 123 recvSpeedACK: 6|1 <- server
2018-06-16 15:02:38 DEBUG: roomId 123 recvState: 9|123|1|24|17|1|2.0|1.0 <- server
2018-06-16 15:02:39 DEBUG: roomId 123 recvState: 9|123|1|24|17|1|2.1|1.05 <- server
2018-06-16 15:02:39 DEBUG: roomId 123 sendSpeed: 5|123|0|2 -> server
2018-06-16 15:02:39 DEBUG: roomId 123 recvSpeedACK: 6|1 <- server
2018-06-16 15:02:39 DEBUG: roomId 123 sendSpeed: 5|123|0|3 -> server
2018-06-16 15:02:39 DEBUG: roomId 123 recvSpeedACK: 6|1 <- server
2018-06-16 15:02:40 DEBUG: roomId 123 recvState: 9|123|1|23|17|3|2.2|1.1 <- server
2018-06-16 15:02:40 DEBUG: roomId 123 sendSpeed: 5|123|0|2 -> server
2018-06-16 15:02:40 DEBUG: roomId 123 recvSpeedACK: 6|1 <- server
2018-06-16 15:02:40 DEBUG: roomId 123 sendSpeed: 5|123|0|1 -> server
2018-06-16 15:02:40 DEBUG: roomId 123 recvSpeedACK: 6|1 <- server
2018-06-16 15:02:41 DEBUG: roomId 123 recvState: 9|123|1|23|17|1|2.5|1.25 <- server
2018-06-16 15:02:42 DEBUG: roomId 123 recvState: 9|123|1|22|17|1|2.6|1.3 <- server
2018-06-16 15:02:42 DEBUG: roomId 123 sendTemp: 7|123|0|18 -> server
2018-06-16 15:02:42 DEBUG: roomId 123 recvTempACK: 8|1 <- server
2018-06-16 15:02:42 DEBUG: roomId 123 sendTemp: 7|123|0|19 -> server
