2018-06-16 15:02:17 INFO: successfully connecting to the database db\db.sqlite3
2018-06-16 15:02:21 INFO: server is listening at 127.0.0.1:8888
2018-06-16 15:02:27 INFO: new connection: 127.0.0.1:3655
2018-06-16 15:02:27 DEBUG: recvOpen: 1|123|0 <- roomId None
2018-06-16 15:02:27 DEBUG: sendOpenACK: 2|1|1|30|2 -> roomId None
2018-06-16 15:02:28 DEBUG: sendState: 9|123|1|30|25|2|0|0 -> roomId 123
2018-06-16 15:02:29 DEBUG: sendState: 9|123|1|30|25|2|0.2|0.1 -> roomId 123
2018-06-16 15:02:30 DEBUG: sendState: 9|123|1|28|25|2|0.4|0.2 -> roomId 123
2018-06-16 15:02:31 DEBUG: sendState: 9|123|1|28|25|2|0.6|0.3 -> roomId 123
2018-06-16 15:02:32 DEBUG: sendState: 9|123|1|26|25|2|0.8|0.4 -> roomId 123
2018-06-16 15:02:32 DEBUG: recvTemp: 7|123|0|26 <- roomId 123
2018-06-16 15:02:32 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:32 DEBUG: recvTemp: 7|123|0|27 <- roomId 123
2018-06-16 15:02:32 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:32 DEBUG: recvTemp: 7|123|0|28 <- roomId 123
2018-06-16 15:02:32 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:32 DEBUG: recvTemp: 7|123|0|29 <- roomId 123
2018-06-16 15:02:32 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:33 DEBUG: recvTemp: 7|123|0|30 <- roomId 123
2018-06-16 15:02:33 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:33 DEBUG: sendState: 9|123|1|26|30|2|1.0|0.5 -> roomId 123
2018-06-16 15:02:33 DEBUG: recvTemp: 7|123|0|29 <- roomId 123
2018-06-16 15:02:33 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:34 DEBUG: sendState: 9|123|1|28|29|2|1.2|0.6 -> roomId 123
2018-06-16 15:02:34 DEBUG: recvTemp: 7|123|0|28 <- roomId 123
2018-06-16 15:02:34 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:34 DEBUG: recvTemp: 7|123|0|27 <- roomId 123
2018-06-16 15:02:34 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:34 DEBUG: recvTemp: 7|123|0|26 <- roomId 123
2018-06-16 15:02:34 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:34 DEBUG: recvTemp: 7|123|0|25 <- roomId 123
2018-06-16 15:02:34 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:34 DEBUG: recvTemp: 7|123|0|24 <- roomId 123
2018-06-16 15:02:34 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:34 DEBUG: recvTemp: 7|123|0|23 <- roomId 123
2018-06-16 15:02:34 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:34 DEBUG: recvTemp: 7|123|0|22 <- roomId 123
2018-06-16 15:02:34 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:35 DEBUG: sendState: 9|123|1|28|22|2|1.4|0.7 -> roomId 123
2018-06-16 15:02:35 DEBUG: recvTemp: 7|123|0|21 <- roomId 123
2018-06-16 15:02:35 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:35 DEBUG: recvTemp: 7|123|0|20 <- roomId 123
2018-06-16 15:02:35 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:35 DEBUG: recvTemp: 7|123|0|19 <- roomId 123
2018-06-16 15:02:35 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:35 DEBUG: recvTemp: 7|123|0|18 <- roomId 123
2018-06-16 15:02:35 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:35 DEBUG: recvTemp: 7|123|0|17 <- roomId 123
2018-06-16 15:02:35 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:36 DEBUG: sendState: 9|123|1|26|17|2|1.6|0.8 -> roomId 123
2018-06-16 15:02:37 DEBUG: sendState: 9|123|1|26|17|2|1.8|0.9 -> roomId 123
2018-06-16 15:02:37 DEBUG: recvSpeed: 5|123|0|1 <- roomId 123
2018-06-16 15:02:37 DEBUG: sendSpeedACK: 6|1 -> roomId 123
2018-06-16 15:02:38 DEBUG: sendState: 9|123|1|24|17|1|2.0|1.0 -> roomId 123
2018-06-16 15:02:39 DEBUG: sendState: 9|123|1|24|17|1|2.1|1.05 -> roomId 123
2018-06-16 15:02:39 DEBUG: recvSpeed: 5|123|0|2 <- roomId 123
2018-06-16 15:02:39 DEBUG: sendSpeedACK: 6|1 -> roomId 123
2018-06-16 15:02:39 DEBUG: recvSpeed: 5|123|0|3 <- roomId 123
2018-06-16 15:02:39 DEBUG: sendSpeedACK: 6|1 -> roomId 123
2018-06-16 15:02:40 DEBUG: sendState: 9|123|1|23|17|3|2.2|1.1 -> roomId 123
2018-06-16 15:02:40 DEBUG: recvSpeed: 5|123|0|2 <- roomId 123
2018-06-16 15:02:40 DEBUG: sendSpeedACK: 6|1 -> roomId 123
2018-06-16 15:02:40 DEBUG: recvSpeed: 5|123|0|1 <- roomId 123
2018-06-16 15:02:40 DEBUG: sendSpeedACK: 6|1 -> roomId 123
2018-06-16 15:02:41 DEBUG: sendState: 9|123|1|23|17|1|2.5|1.25 -> roomId 123
2018-06-16 15:02:42 DEBUG: sendState: 9|123|1|22|17|1|2.6|1.3 -> roomId 123
2018-06-16 15:02:42 DEBUG: recvTemp: 7|123|0|18 <- roomId 123
2018-06-16 15:02:42 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:42 DEBUG: recvTemp: 7|123|0|19 <- roomId 123
2018-06-16 15:02:42 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:42 DEBUG: recvTemp: 7|123|0|20 <- roomId 123
2018-06-16 15:02:42 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:43 DEBUG: sendState: 9|123|1|22|20|1|2.7|1.35 -> roomId 123
2018-06-16 15:02:43 DEBUG: recvTemp: 7|123|0|21 <- roomId 123
2018-06-16 15:02:43 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:43 DEBUG: recvTemp: 7|123|0|22 <- roomId 123
2018-06-16 15:02:43 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:43 DEBUG: sendHalt: 10|123 -> roomId 123
2018-06-16 15:02:51 DEBUG: recvTemBack: 11|25 <- roomId 123
2018-06-16 15:02:52 DEBUG: sendState: 9|123|1|25|22|1|2.7|1.35 -> roomId 123
2018-06-16 15:02:53 DEBUG: sendState: 9|123|1|25|22|1|2.8|1.4 -> roomId 123
2018-06-16 15:02:54 DEBUG: sendState: 9|123|1|24|22|1|2.9|1.45 -> roomId 123
2018-06-16 15:02:55 DEBUG: sendState: 9|123|1|24|22|1|3.0|1.5 -> roomId 123
2018-06-16 15:02:55 DEBUG: recvTemp: 7|123|0|21 <- roomId 123
2018-06-16 15:02:55 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:55 DEBUG: recvTemp: 7|123|0|20 <- roomId 123
2018-06-16 15:02:55 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:55 DEBUG: recvTemp: 7|123|0|19 <- roomId 123
2018-06-16 15:02:55 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:55 DEBUG: recvTemp: 7|123|0|18 <- roomId 123
2018-06-16 15:02:55 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:55 DEBUG: recvTemp: 7|123|0|17 <- roomId 123
2018-06-16 15:02:55 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:02:56 DEBUG: sendState: 9|123|1|23|17|1|3.1|1.55 -> roomId 123
2018-06-16 15:02:57 DEBUG: sendState: 9|123|1|23|17|1|3.2|1.6 -> roomId 123
2018-06-16 15:02:57 DEBUG: recvSpeed: 5|123|0|2 <- roomId 123
2018-06-16 15:02:57 DEBUG: sendSpeedACK: 6|1 -> roomId 123
2018-06-16 15:02:58 DEBUG: sendState: 9|123|1|22|17|2|3.3|1.65 -> roomId 123
2018-06-16 15:02:58 DEBUG: recvSpeed: 5|123|0|3 <- roomId 123
2018-06-16 15:02:58 DEBUG: sendSpeedACK: 6|1 -> roomId 123
2018-06-16 15:02:59 DEBUG: sendState: 9|123|1|22|17|3|3.6|1.8 -> roomId 123
2018-06-16 15:02:59 DEBUG: recvSpeed: 5|123|0|2 <- roomId 123
2018-06-16 15:02:59 DEBUG: sendSpeedACK: 6|1 -> roomId 123
2018-06-16 15:03:00 DEBUG: sendState: 9|123|1|19|17|2|3.9|1.95 -> roomId 123
2018-06-16 15:03:00 DEBUG: recvSpeed: 5|123|0|1 <- roomId 123
2018-06-16 15:03:00 DEBUG: sendSpeedACK: 6|1 -> roomId 123
2018-06-16 15:03:01 DEBUG: sendState: 9|123|1|19|17|1|4.0|2.0 -> roomId 123
2018-06-16 15:03:01 DEBUG: recvTemp: 7|123|0|18 <- roomId 123
2018-06-16 15:03:01 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:01 DEBUG: recvTemp: 7|123|0|18 <- roomId 123
2018-06-16 15:03:01 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:01 DEBUG: recvTemp: 7|123|0|19 <- roomId 123
2018-06-16 15:03:01 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:01 DEBUG: recvTemp: 7|123|0|20 <- roomId 123
2018-06-16 15:03:01 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:01 DEBUG: recvTemp: 7|123|0|21 <- roomId 123
2018-06-16 15:03:01 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:01 DEBUG: recvTemp: 7|123|0|22 <- roomId 123
2018-06-16 15:03:01 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:01 DEBUG: recvTemp: 7|123|0|23 <- roomId 123
2018-06-16 15:03:01 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:02 DEBUG: sendState: 9|123|1|18|23|1|4.1|2.05 -> roomId 123
2018-06-16 15:03:02 DEBUG: recvTemp: 7|123|0|24 <- roomId 123
2018-06-16 15:03:02 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:02 DEBUG: recvTemp: 7|123|0|25 <- roomId 123
2018-06-16 15:03:02 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:02 DEBUG: recvTemp: 7|123|0|26 <- roomId 123
2018-06-16 15:03:02 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:02 DEBUG: recvTemp: 7|123|0|27 <- roomId 123
2018-06-16 15:03:02 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:02 DEBUG: recvTemp: 7|123|0|28 <- roomId 123
2018-06-16 15:03:02 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:02 DEBUG: recvTemp: 7|123|0|29 <- roomId 123
2018-06-16 15:03:02 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:03 DEBUG: sendState: 9|123|1|18|29|1|4.2|2.1 -> roomId 123
2018-06-16 15:03:03 DEBUG: recvTemp: 7|123|0|30 <- roomId 123
2018-06-16 15:03:03 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:03 DEBUG: recvTemp: 7|123|0|29 <- roomId 123
2018-06-16 15:03:03 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:04 DEBUG: sendState: 9|123|1|19|29|1|4.3|2.15 -> roomId 123
2018-06-16 15:03:04 DEBUG: recvTemp: 7|123|0|28 <- roomId 123
2018-06-16 15:03:04 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:04 DEBUG: recvTemp: 7|123|0|27 <- roomId 123
2018-06-16 15:03:04 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:04 DEBUG: recvTemp: 7|123|0|26 <- roomId 123
2018-06-16 15:03:04 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:04 DEBUG: recvTemp: 7|123|0|25 <- roomId 123
2018-06-16 15:03:04 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:04 DEBUG: recvTemp: 7|123|0|24 <- roomId 123
2018-06-16 15:03:04 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:04 DEBUG: recvTemp: 7|123|0|23 <- roomId 123
2018-06-16 15:03:04 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:05 DEBUG: sendState: 9|123|1|19|23|1|4.4|2.2 -> roomId 123
2018-06-16 15:03:05 DEBUG: recvTemp: 7|123|0|22 <- roomId 123
2018-06-16 15:03:05 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:05 DEBUG: recvTemp: 7|123|0|21 <- roomId 123
2018-06-16 15:03:05 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:05 DEBUG: recvTemp: 7|123|0|20 <- roomId 123
2018-06-16 15:03:05 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:05 DEBUG: recvTemp: 7|123|0|19 <- roomId 123
2018-06-16 15:03:05 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:05 DEBUG: recvTemp: 7|123|0|18 <- roomId 123
2018-06-16 15:03:05 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:06 DEBUG: sendState: 9|123|1|20|18|1|4.5|2.25 -> roomId 123
2018-06-16 15:03:06 DEBUG: recvTemp: 7|123|0|17 <- roomId 123
2018-06-16 15:03:06 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:07 DEBUG: sendState: 9|123|1|20|17|1|4.6|2.3 -> roomId 123
2018-06-16 15:03:08 DEBUG: sendState: 9|123|1|19|17|1|4.7|2.35 -> roomId 123
2018-06-16 15:03:09 DEBUG: recvTemp: 7|123|0|18 <- roomId 123
2018-06-16 15:03:09 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:09 DEBUG: sendState: 9|123|1|19|18|1|4.8|2.4 -> roomId 123
2018-06-16 15:03:09 DEBUG: recvTemp: 7|123|0|19 <- roomId 123
2018-06-16 15:03:09 DEBUG: sendTempACK: 8|1 -> roomId 123
2018-06-16 15:03:09 DEBUG: sendHalt: 10|123 -> roomId 123
2018-06-16 15:03:14 INFO: client 127.0.0.1:3655 disconnected
